
> weflow-remote-viewer@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://198.18.0.1:3000
- Environments: .env.local
✓ Ready in 17.6s

 GET / 200 in 2.7s (next.js: 1975ms, application-code: 693ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 536ms (next.js: 28ms, application-code: 508ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 653ms (next.js: 3ms, application-code: 650ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 292ms (next.js: 40ms, application-code: 252ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 205ms (next.js: 2ms, application-code: 203ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 209ms (next.js: 4ms, application-code: 205ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 283ms (next.js: 17ms, application-code: 267ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 365ms (next.js: 3ms, application-code: 362ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 304ms (next.js: 4ms, application-code: 301ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 284ms (next.js: 12ms, application-code: 272ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 245ms (next.js: 5ms, application-code: 241ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 298ms (next.js: 6ms, application-code: 291ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 214ms (next.js: 5ms, application-code: 210ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 210ms (next.js: 2ms, application-code: 208ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 271ms (next.js: 3ms, application-code: 268ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 275ms (next.js: 3ms, application-code: 272ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 234ms (next.js: 3ms, application-code: 230ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 349ms (next.js: 3ms, application-code: 346ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 329ms (next.js: 6ms, application-code: 324ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 352ms (next.js: 5ms, application-code: 347ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 296ms (next.js: 3ms, application-code: 292ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 251ms (next.js: 6ms, application-code: 246ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 278ms (next.js: 7ms, application-code: 272ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 221ms (next.js: 3ms, application-code: 219ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 210ms (next.js: 3ms, application-code: 207ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 234ms (next.js: 3ms, application-code: 231ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 224ms (next.js: 4ms, application-code: 220ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 271ms (next.js: 6ms, application-code: 266ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 264ms (next.js: 3ms, application-code: 261ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 274ms (next.js: 3ms, application-code: 271ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 213ms (next.js: 2ms, application-code: 210ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 237ms (next.js: 4ms, application-code: 233ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 321ms (next.js: 4ms, application-code: 317ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 333ms (next.js: 5ms, application-code: 328ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 554ms (next.js: 3ms, application-code: 551ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 242ms (next.js: 4ms, application-code: 238ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 221ms (next.js: 4ms, application-code: 217ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 225ms (next.js: 3ms, application-code: 222ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 232ms (next.js: 3ms, application-code: 229ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 264ms (next.js: 5ms, application-code: 259ms)
