
> weflow-remote-viewer@0.1.0 dev
> next dev --port 3001

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://198.18.0.1:3001
- Environments: .env.local
✓ Ready in 6.5s

 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 222ms (next.js: 3ms, application-code: 219ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 234ms (next.js: 3ms, application-code: 231ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 258ms (next.js: 3ms, application-code: 255ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 234ms (next.js: 3ms, application-code: 231ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 237ms (next.js: 3ms, application-code: 234ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 223ms (next.js: 3ms, application-code: 220ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 231ms (next.js: 4ms, application-code: 227ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 283ms (next.js: 9ms, application-code: 274ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 456ms (next.js: 2ms, application-code: 454ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 407ms (next.js: 3ms, application-code: 404ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 232ms (next.js: 3ms, application-code: 230ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 439ms (next.js: 3ms, application-code: 436ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 235ms (next.js: 3ms, application-code: 232ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 319ms (next.js: 3ms, application-code: 315ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 239ms (next.js: 2ms, application-code: 237ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 366ms (next.js: 25ms, application-code: 341ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 227ms (next.js: 3ms, application-code: 224ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 226ms (next.js: 3ms, application-code: 224ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 210ms (next.js: 5ms, application-code: 205ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 248ms (next.js: 3ms, application-code: 245ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 226ms (next.js: 7ms, application-code: 219ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 233ms (next.js: 9ms, application-code: 224ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 240ms (next.js: 3ms, application-code: 237ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 234ms (next.js: 5ms, application-code: 229ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 232ms (next.js: 8ms, application-code: 224ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 244ms (next.js: 7ms, application-code: 238ms)
